command,mean,stddev,median,user,system,min,max
./main < ./4100.txt,0.007526779629870129,0.002894696817998678,0.0088014963,0.00536424363636364,0.002466381212121211,0,0.010254121300000002
./main < ./650000.txt,0.1911596010600001,0.0013942102984072485,0.1909915908,0.18315784000000004,0.007969062399999999,0.1887420103,0.19741622930000002
./main < ./64.txt,0.00504876109137691,0.002118380660467366,0.006018447300000001,0.003168971293463145,0.002210886369958277,0,0.007159239300000001
./main < ./41.txt,0.00487167804135593,0.002314018499866333,0.006000015300000001,0.003064653288135592,0.002139953220338983,0,0.0071506983
./main < ./90.txt,0.005671983567123288,0.001415753547612354,0.0060336583000000004,0.003523238219178082,0.0023714860958904114,0,0.0070830893
./main < ./710000.txt,0.21331114580000005,0.0015242309863033217,0.21298584580000002,0.20535417000000009,0.007917282399999998,0.2108508363,0.21760768230000002
./main < ./40000.txt,0.012620237299999998,0.0033515160944502646,0.0117976828,0.011809923636363632,0.0012684185123966935,0.0081236383,0.0219686403
./main < ./23000.txt,0.01204590770517241,0.00620811931955048,0.0105639618,0.01090639620689655,0.0015274958620689655,0.0039383333,0.0234015833
./main < ./9400.txt,0.010065218195161287,0.00436854598133792,0.012731961299999999,0.007875290107526885,0.0024506936021505368,0.0009089733000000001,0.014731653300000001
./main < ./630000.txt,0.18398874809000007,0.0012784313808361218,0.1838796218,0.17754927999999995,0.0064532266,0.18137017830000002,0.18927775330000002
./main < ./180000.txt,0.04357504036,0.00038211969335012855,0.0435361038,0.04223164999999998,0.0017323676000000005,0.04276886330000001,0.0456437453
./main < ./170000.txt,0.04162478955000002,0.00022188141161924547,0.0416053413,0.03986639999999999,0.0020816116,0.041040567300000004,0.042270448300000006
./main < ./49.txt,0.004998105907927672,0.0021601753258564836,0.0060108753,0.003118179638386651,0.0021825799721835876,0,0.0070198783
./main < ./13.txt,0.004922269012203384,0.0022023774619487437,0.0059767643,0.0031489288135593207,0.0020740134237288133,0,0.006836367300000001
./main < ./380000.txt,0.09155359349999997,0.0008181282941483455,0.09142894230000001,0.08757883000000001,0.0041134495999999975,0.08961935630000001,0.09391816130000001
./main < ./750000.txt,0.21306504473999996,0.0016120854205895912,0.21287157430000003,0.20549808000000006,0.007536122400000001,0.21001634930000002,0.21897431530000003
./main < ./39000.txt,0.011367179615126049,0.003117066953490288,0.010812902800000001,0.010681396134453793,0.0011628815966386557,0.0074498673,0.0204542103
./main < ./640000.txt,0.17166045464,0.0014742256085574514,0.17140014930000003,0.16536291000000003,0.0063432359999999995,0.16969941330000002,0.1804144303
./main < ./2600.txt,0.0064122420655076465,0.002729840995806196,0.0077555123000000005,0.00457795949930459,0.002125825535465922,0,0.0088145463
./main < ./720.txt,0.00606837319430605,0.0014932137707650726,0.0064591503,0.003932302348754448,0.0024419381494661923,0,0.007570176300000001
./main < ./610.txt,0.005418750874125875,0.0021632504611699393,0.006374010800000001,0.003381479440559441,0.002386941258741258,0,0.007020351300000001
./main < ./270.txt,0.00562052296369863,0.0016843874104377477,0.006167925800000001,0.003559354657534244,0.002362769383561643,0,0.007202656300000001
./main < ./38000.txt,0.013154136870370373,0.0044726143041630695,0.0113964413,0.012285011851851846,0.0012985488888888886,0.0078343773,0.0213564363
./main < ./6200.txt,0.008490690599303949,0.003550980415886718,0.0104287193,0.0065296981902552165,0.0022697732714617174,0.00019556830000000067,0.0112171103
./main < ./9800.txt,0.009911124694285721,0.004512272511110073,0.0129983873,0.008226125028571427,0.0020007913142857147,0.0009890473000000004,0.0136022713
./main < ./210.txt,0.005325516028233657,0.0019355729390311501,0.0061176773,0.003361625869262868,0.0022455609735744105,0,0.006757786300000001
./main < ./8500.txt,0.009035952278609627,0.004180418767392228,0.0116594943,0.007108532406417115,0.002184666737967915,0.0006396843000000003,0.0119766283
./main < ./98000.txt,0.022061857799999997,0.00012438339731945782,0.0220487573,0.021043910877192987,0.0014346170175438598,0.0218221523,0.0225196413
